Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
1012,feed,n/a,tbd,d2076c8b-b7d8-44ce-a7f0-9c33e23cd13a,0,2020-06-15 11:05:26.3939870,2020-06-15 11:05:26.3939870,0,78.3.13.101,0,HR
1013,profile,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,d3229ec9-d753-4727-a415-d0c92911f802,30,2020-06-15 11:05:43.4625349,2020-06-15 11:06:13.6023131,20.54,46.189.180.214,300,PT
1014,feed,n/a,tbd,40323068-bcba-4773-a617-383e1f54ca37,0,2020-06-15 11:06:19.0318363,2020-06-15 11:06:19.0318363,0,46.189.180.214,0,PT
1015,feed,n/a,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,1cd6e4a4-9bea-402e-a17c-63a99c321eb4,60,2020-06-15 11:06:24.3355139,2020-06-15 11:07:24.5402942,29.49,46.189.180.214,0,PT
1016,explore,n/a,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,518febe5-562a-4a8b-9ffe-42d8121c0949,0,2020-06-15 11:07:27.6557814,2020-06-15 11:07:27.6557814,0,46.189.180.214,0,PT
1017,feed,n/a,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,d82ce594-c296-4499-89cc-c185fdf1f7d1,163,2020-06-15 11:07:36.5970517,2020-06-15 11:10:20.2785118,1.565,46.189.180.214,100,PT
1018,profile,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,cea3d3bf-159d-4fa5-a9a9-7ae101a94723,8ffee68e-0ea0-40d8-8656-16b9c60ef5ae,60,2020-06-15 11:07:43.4738898,2020-06-15 11:08:44.4013795,26.497,46.189.180.214,0,PT
1019,feed,n/a,f00ea766-7bad-46c6-92d0-eec2fd308c35,603345f4-0fce-495a-9cc6-a5697b2eedd6,30,2020-06-15 11:07:44.5477846,2020-06-15 11:08:15.0983006,30.551,86.174.30.234,0,GB
1020,feed,n/a,18d5fe79-926b-489c-9dc3-406641760d0d,3804ff54-8529-4adb-a99d-85951d6a5451,300,2020-06-15 11:09:50.5747734,2020-06-15 11:14:51.4984264,0.96,5.102.203.228,0,IL
1021,feed,n/a,643c0373-8bd7-4d4c-b354-3b871870e1bf,60d64e58-f8c6-4810-999e-a91479223e81,0,2020-06-15 11:12:46.5092782,2020-06-15 11:12:46.5092782,0,157.39.66.139,0,ID
1022,feed,n/a,tbd,c414a212-a473-4057-99e8-221ff8f829e3,0,2020-06-15 11:13:07.7464630,2020-06-15 11:13:07.7464630,0,175.157.127.153,0,LK
1023,feed,n/a,tbd,03452c0c-d4ad-42c3-8cb4-93de663a654f,0,2020-06-15 11:13:27.2217494,2020-06-15 11:13:27.2217494,0,103.25.250.244,0,BD
1024,feed,n/a,tbd,44abed4d-4d2b-47aa-8e0f-8dfa4bbea597,780,2020-06-15 11:14:51.1883154,2020-06-15 11:27:51.6399878,528.641,102.187.59.22,112487,--
1025,feed,n/a,e0eddb27-3cb7-4a52-ae3e-2a9a939ffcee,e91671b4-e8c7-47d4-b2bb-b01d8812c43b,0,2020-06-15 11:15:37.9313972,2020-06-15 11:15:37.9313972,0,1.23.0.68,0,IN
1026,feed,n/a,e0eddb27-3cb7-4a52-ae3e-2a9a939ffcee,56188112-44d2-4815-8d70-01deb34ce540,31,2020-06-15 11:16:07.1044006,2020-06-15 11:16:38.5977075,4.951,1.23.0.68,0,IN
1027,feed,n/a,tbd,255737e3-2852-4664-ba83-7985730a5fdd,120,2020-06-15 11:17:35.1677653,2020-06-15 11:19:35.8373968,23.165,190.152.177.204,0,EC
1028,feed,n/a,e0eddb27-3cb7-4a52-ae3e-2a9a939ffcee,e4fd4310-8216-4262-8e9a-0db477c6c0a5,0,2020-06-15 11:18:01.7533419,2020-06-15 11:18:01.7533419,0,1.23.0.68,0,IN
1029,feed,n/a,87b8c0bc-32fc-40db-a865-7845ac345f5e,5a9bc682-5d53-4c9b-b565-30c9305decfb,120,2020-06-15 11:19:31.6726244,2020-06-15 11:21:32.2547495,7.148,78.3.13.101,0,HR
1030,feed,n/a,tbd,ac617561-30ca-4e28-9174-19d0b229ddd9,157,2020-06-15 11:19:46.3374492,2020-06-15 11:22:23.4002579,85.926,186.7.204.187,1000,DO
1031,feed,n/a,tbd,c2dbec76-a0b3-405b-8c2e-bebb4defbd8d,0,2020-06-15 11:20:23.1785141,2020-06-15 11:20:23.1785141,0,36.37.149.84,0,KH
1032,profile,d597b728-0311-45e7-a69d-378ffb621c18,null,a4f9583a-d35d-47b2-a176-23656d7cd2ca,360,2020-06-15 11:21:14.1138995,2020-06-15 11:27:14.7220999,75.907,102.187.59.22,0,--
1033,profile,madonna,null,53cb1a27-f1c0-4fca-8977-fd6fa81d5122,271,2020-06-15 11:23:21.7812678,2020-06-15 11:27:53.6130009,27.839,102.187.59.22,0,--
1034,profile,madonna,null,9f2eb34b-c837-48df-9163-73cacbde202b,272,2020-06-15 11:23:22.9490935,2020-06-15 11:27:55.7695291,24.852,102.187.59.22,0,--
1035,profile,madonna,null,1335e102-2c6e-4130-b0fe-ceb54ca84395,272,2020-06-15 11:23:24.4951439,2020-06-15 11:27:57.2085448,24.572,102.187.59.22,0,--
1036,feed,n/a,tbd,11958584-0664-489a-a8bb-2141fe71fd6e,0,2020-06-15 11:23:36.4942794,2020-06-15 11:23:36.4942794,0,175.157.55.230,0,LK
1037,feed,n/a,tbd,e1818ec6-4f35-4d71-aa7e-4766aac66842,0,2020-06-15 11:24:41.4308262,2020-06-15 11:24:41.4308262,0,111.119.188.5,0,PK
1038,feed,n/a,tbd,ad6a6057-071a-40a7-9aa3-d5eae5e549a0,0,2020-06-15 11:25:08.2538733,2020-06-15 11:25:08.2538733,0,120.188.87.0,0,ID
1039,feed,n/a,tbd,d2a91f7a-a5ce-4335-a43a-6ad1454147b1,30,2020-06-15 11:25:47.4880165,2020-06-15 11:26:18.2167644,31.338,197.220.84.76,0,SO
1040,feed,n/a,tbd,ff3b6afa-0ac2-46a6-ab56-8cd587992eb0,0,2020-06-15 11:26:06.8136487,2020-06-15 11:26:06.8136487,0,157.34.5.181,0,ID
